Atmospheric, in eV^-1 cm^-2 s^-1

    Energy [eV]      Neutrinos     Antineutrinos 

   1.3000000e+07   1.8360000e-08   1.7970000e-08
   3.0000000e+07   2.9000000e-08   3.0500000e-08
   6.0000000e+07   1.9540000e-08   1.9200000e-08
   1.0600000e+08   1.3786000e-08   1.3961000e-08
   1.0000000e+08   1.3786000e-08   1.3961000e-08
   1.1220000e+08   1.2082000e-08   1.2174000e-08
   1.2589000e+08   1.0533000e-08   1.0551000e-08
   1.4125000e+08   9.1187000e-09   9.0865000e-09
   1.5849000e+08   7.8282000e-09   7.7663000e-09
   1.7783000e+08   6.6599000e-09   6.5776000e-09
   1.9953000e+08   5.6170000e-09   5.5179000e-09
   2.2387000e+08   4.6958000e-09   4.5872000e-09
   2.5119000e+08   3.8931000e-09   3.7839000e-09
   2.8184000e+08   3.1991000e-09   3.0976000e-09
   3.1623000e+08   2.6107000e-09   2.5168000e-09
   3.5481000e+08   2.1175000e-09   2.0329000e-09
   3.9811000e+08   1.7059000e-09   1.6320000e-09
   4.4668000e+08   1.3670000e-09   1.3006000e-09
   5.0119000e+08   1.0883000e-09   1.0306000e-09
   5.6234000e+08   8.6181000e-10   8.1224000e-10
   6.3096000e+08   6.7912000e-10   6.3681000e-10
   7.0795000e+08   5.3183000e-10   4.9659000e-10
   7.9433000e+08   4.1455000e-10   3.8516000e-10
   8.9125000e+08   3.2138000e-10   2.9716000e-10
   1.0000000e+09   2.4799000e-10   2.2801000e-10
   1.1220000e+09   1.9060000e-10   1.7426000e-10
   1.2589000e+09   1.4591000e-10   1.3248000e-10
   1.4125000e+09   1.1109000e-10   1.0026000e-10
   1.5849000e+09   8.4168000e-11   7.5421000e-11
   1.7783000e+09   6.3424000e-11   5.6395000e-11
   1.9953000e+09   4.7495000e-11   4.1983000e-11
   2.2387000e+09   3.5399000e-11   3.1099000e-11
   2.5119000e+09   2.6245000e-11   2.2921000e-11
   2.8184000e+09   1.9338000e-11   1.6768000e-11
   3.1623000e+09   1.4193000e-11   1.2231000e-11
   3.5481000e+09   1.0367000e-11   8.8808000e-12
   3.9811000e+09   7.5475000e-12   6.4199000e-12
   4.4668000e+09   5.4704000e-12   4.6313000e-12
   5.0119000e+09   3.9494000e-12   3.3291000e-12
   5.6234000e+09   2.8444000e-12   2.3830000e-12
   6.3096000e+09   2.0390000e-12   1.7000000e-12
   7.0795000e+09   1.4573000e-12   1.2099000e-12
   7.9433000e+09   1.0405000e-12   8.5995000e-13
   8.9125000e+09   7.4101000e-13   6.0997000e-13
   1.0000000e+10   5.2622000e-13   4.3133000e-13
   1.1220000e+10   3.7311000e-13   3.0464000e-13
   1.2589000e+10   2.6415000e-13   2.1489000e-13
   1.4125000e+10   1.8686000e-13   1.5163000e-13
   1.5849000e+10   1.3234000e-13   1.0682000e-13
   1.7783000e+10   9.3617000e-14   7.5110000e-14
   1.9953000e+10   6.6117000e-14   5.2973000e-14
   2.2387000e+10   4.6663000e-14   3.7250000e-14
   2.5119000e+10   3.2971000e-14   2.6107000e-14
   2.8184000e+10   2.3295000e-14   1.8371000e-14
   3.1623000e+10   1.6470000e-14   1.2969000e-14
   3.5481000e+10   1.1615000e-14   9.1012000e-15
   3.9811000e+10   8.1867000e-15   6.3842000e-15
   4.4668000e+10   5.7664000e-15   4.4754000e-15
   5.0119000e+10   4.0596000e-15   3.1353000e-15
   5.6234000e+10   2.8564000e-15   2.1948000e-15
   6.3096000e+10   2.0093000e-15   1.5345000e-15
   7.0795000e+10   1.4122000e-15   1.0723000e-15
   7.9433000e+10   9.9169000e-16   7.4878000e-16
   8.9125000e+10   6.9661000e-16   5.2229000e-16
   1.0000000e+11   4.8872000e-16   3.6447000e-16
