Solar, nuclear, B8, in eV^-1 cm^-2 s^-1 

    Energy[eV]        Flux

   2.0000000e+04   4.4376000e-05
   4.0000000e+04   1.7544000e-04
   6.0000000e+04   3.8803200e-04
   8.0000000e+04   6.7802400e-04
   1.0000000e+05   1.0418040e-03
   1.2000000e+05   1.4752440e-03
   1.4000000e+05   1.9737000e-03
   1.6000000e+05   2.5345920e-03
   1.8000000e+05   3.1537920e-03
   2.0000000e+05   3.8271720e-03
   2.2000000e+05   4.5506040e-03
   2.4000000e+05   5.3209920e-03
   2.6000000e+05   6.1326600e-03
   2.8000000e+05   6.9804480e-03
   3.0000000e+05   7.8535200e-03
   3.2000000e+05   8.7302040e-03
   3.4000000e+05   9.6223680e-03
   3.6000000e+05   1.0696680e-02
   3.8000000e+05   1.1816916e-02
   4.0000000e+05   1.2980496e-02
   4.2000000e+05   1.4181228e-02
   4.4000000e+05   1.5426852e-02
   4.6000000e+05   1.6737492e-02
   4.8000000e+05   1.8089928e-02
   5.0000000e+05   1.9481580e-02
   5.2000000e+05   2.0903676e-02
   5.4000000e+05   2.2374792e-02
   5.6000000e+05   2.3912988e-02
   5.8000000e+05   2.5491948e-02
   6.0000000e+05   2.7109092e-02
   6.2000000e+05   2.8759776e-02
   6.4000000e+05   3.0456384e-02
   6.6000000e+05   3.2200980e-02
   6.8000000e+05   3.3982728e-02
   7.0000000e+05   3.5800596e-02
   7.2000000e+05   3.7651488e-02
   7.4000000e+05   3.9542628e-02
   7.6000000e+05   4.1472468e-02
   7.8000000e+05   4.3435848e-02
   8.0000000e+05   4.5430704e-02
   8.2000000e+05   4.7452392e-02
   8.4000000e+05   4.9518456e-02
   8.6000000e+05   5.1619092e-02
   8.8000000e+05   5.3749140e-02
   9.0000000e+05   5.5907568e-02
   9.2000000e+05   5.8085088e-02
   9.4000000e+05   6.0316272e-02
   9.6000000e+05   6.2577900e-02
   9.8000000e+05   6.4866876e-02
   1.0000000e+06   6.7181136e-02
   1.0200000e+06   6.9513456e-02
   1.0400000e+06   7.1896860e-02
   1.0600000e+06   7.4306064e-02
   1.0800000e+06   7.6740552e-02
   1.1000000e+06   7.9197744e-02
   1.1200000e+06   8.1674544e-02
   1.1400000e+06   8.4194688e-02
   1.1600000e+06   8.6738052e-02
   1.1800000e+06   8.9305152e-02
   1.2000000e+06   9.1892892e-02
   1.2200000e+06   9.4500240e-02
   1.2400000e+06   9.7142676e-02
   1.2600000e+06   9.9806268e-02
   1.2800000e+06   1.0249050e-01
   1.3000000e+06   1.0519382e-01
   1.3200000e+06   1.0791624e-01
   1.3400000e+06   1.1066600e-01
   1.3600000e+06   1.1343486e-01
   1.3800000e+06   1.1622074e-01
   1.4000000e+06   1.1902211e-01
   1.4200000e+06   1.2184205e-01
   1.4400000e+06   1.2469088e-01
   1.4600000e+06   1.2755675e-01
   1.4800000e+06   1.3043809e-01
   1.5000000e+06   1.3333182e-01
   1.5200000e+06   1.3624464e-01
   1.5400000e+06   1.3918120e-01
   1.5600000e+06   1.4213220e-01
   1.5800000e+06   1.4509662e-01
   1.6000000e+06   1.4807291e-01
   1.6200000e+06   1.5106571e-01
   1.6400000e+06   1.5407708e-01
   1.6600000e+06   1.5710136e-01
   1.6800000e+06   1.6013647e-01
   1.7000000e+06   1.6318139e-01
   1.7200000e+06   1.6624178e-01
   1.7400000e+06   1.6931663e-01
   1.7600000e+06   1.7240076e-01
   1.7800000e+06   1.7549418e-01
   1.8000000e+06   1.7859173e-01
   1.8200000e+06   1.8171043e-01
   1.8400000e+06   1.8484152e-01
   1.8600000e+06   1.8798086e-01
   1.8800000e+06   1.9112692e-01
   1.9000000e+06   1.9427555e-01
   1.9200000e+06   1.9744482e-01
   1.9400000e+06   2.0062183e-01
   1.9600000e+06   2.0380504e-01
   1.9800000e+06   2.0699340e-01
   2.0000000e+06   2.1018228e-01
   2.0200000e+06   2.1339232e-01
   2.0400000e+06   2.1660751e-01
   2.0600000e+06   2.1982684e-01
   2.0800000e+06   2.2304977e-01
   2.1000000e+06   2.2627271e-01
   2.1200000e+06   2.2951319e-01
   2.1400000e+06   2.3275676e-01
   2.1600000e+06   2.3600344e-01
   2.1800000e+06   2.3925062e-01
   2.2000000e+06   2.4249884e-01
   2.2200000e+06   2.4576100e-01
   2.2400000e+06   2.4902470e-01
   2.2600000e+06   2.5228994e-01
   2.2800000e+06   2.5555416e-01
   2.3000000e+06   2.5881889e-01
   2.3200000e+06   2.6209446e-01
   2.3400000e+06   2.6537003e-01
   2.3600000e+06   2.6864508e-01
   2.3800000e+06   2.7191755e-01
   2.4000000e+06   2.7519054e-01
   2.4200000e+06   2.7847333e-01
   2.4400000e+06   2.8175458e-01
   2.4600000e+06   2.8503376e-01
   2.4800000e+06   2.8830829e-01
   2.5000000e+06   2.9158386e-01
   2.5200000e+06   2.9486510e-01
   2.5400000e+06   2.9814377e-01
   2.5600000e+06   3.0141779e-01
   2.5800000e+06   3.0468562e-01
   2.6000000e+06   3.0795602e-01
   2.6200000e+06   3.1122953e-01
   2.6400000e+06   3.1449787e-01
   2.6600000e+06   3.1776106e-01
   2.6800000e+06   3.2101598e-01
   2.7000000e+06   3.2427452e-01
   2.7200000e+06   3.2753255e-01
   2.7400000e+06   3.3078438e-01
   2.7600000e+06   3.3403002e-01
   2.7800000e+06   3.3726431e-01
   2.8000000e+06   3.4050479e-01
   2.8200000e+06   3.4374166e-01
   2.8400000e+06   3.4697130e-01
   2.8600000e+06   3.5019217e-01
   2.8800000e+06   3.5340014e-01
   2.9000000e+06   3.5661740e-01
   2.9200000e+06   3.5982692e-01
   2.9400000e+06   3.6302819e-01
   2.9600000e+06   3.6622016e-01
   2.9800000e+06   3.6939976e-01
   3.0000000e+06   3.7258348e-01
   3.0200000e+06   3.7575842e-01
   3.0400000e+06   3.7892357e-01
   3.0600000e+06   3.8207788e-01
   3.0800000e+06   3.8522083e-01
   3.1000000e+06   3.8836534e-01
   3.1200000e+06   3.9149952e-01
   3.1400000e+06   3.9462338e-01
   3.1600000e+06   3.9773486e-01
   3.1800000e+06   4.0083448e-01
   3.2000000e+06   4.0393460e-01
   3.2200000e+06   4.0702390e-01
   3.2400000e+06   4.1010132e-01
   3.2600000e+06   4.1316481e-01
   3.2800000e+06   4.1621798e-01
   3.3000000e+06   4.1926754e-01
   3.3200000e+06   4.2230472e-01
   3.3400000e+06   4.2532900e-01
   3.3600000e+06   4.2833779e-01
   3.3800000e+06   4.3133730e-01
   3.4000000e+06   4.3433268e-01
   3.4200000e+06   4.3731464e-01
   3.4400000e+06   4.4028319e-01
   3.4600000e+06   4.4323523e-01
   3.4800000e+06   4.4617849e-01
