Solar, nuclear, hep, in eV^-1 cm^-2 s^-1 

    Energy[eV]       Flux min        Flux max

   1.8784000e+04   8.2616800e-09   1.5918487e-08
   3.7567000e+04   3.2982320e-08   6.3549863e-08
   5.6351000e+04   7.4065600e-08   1.4270854e-07
   7.5135000e+04   1.3141520e-07   2.5320893e-07
   9.3919000e+04   2.0493200e-07   3.9486005e-07
   1.1270000e+05   2.9452640e-07   5.6748926e-07
   1.3149000e+05   4.0009760e-07   7.7090234e-07
   1.5027000e+05   5.2155600e-07   1.0049266e-06
   1.6905000e+05   6.5878400e-07   1.2693356e-06
   1.8784000e+05   8.1172000e-07   1.5640105e-06
   2.0662000e+05   9.8028000e-07   1.8887895e-06
   2.2540000e+05   1.1642960e-06   2.2433489e-06
   2.4419000e+05   1.3637680e-06   2.6276887e-06
   2.6297000e+05   1.5785280e-06   3.0414852e-06
   2.8176000e+05   1.8084640e-06   3.4845226e-06
   3.0054000e+05   2.0535760e-06   3.9568009e-06
   3.1932000e+05   2.3136960e-06   4.4579964e-06
   3.3811000e+05   2.5888240e-06   4.9881091e-06
   3.5689000e+05   2.8787360e-06   5.5467074e-06
   3.7567000e+05   3.1833760e-06   6.1336834e-06
   3.9446000e+05   3.5027440e-06   6.7490371e-06
   4.1324000e+05   3.8366160e-06   7.3923369e-06
   4.3203000e+05   4.1849920e-06   8.0635828e-06
   4.5081000e+05   4.5477040e-06   8.7624511e-06
   4.6959000e+05   4.9247520e-06   9.4889418e-06
   4.8838000e+05   5.3160240e-06   1.0242839e-05
   5.0716000e+05   5.7215200e-06   1.1024143e-05
   5.2594000e+05   6.1409600e-06   1.1832314e-05
   5.4473000e+05   6.5738400e-06   1.2666381e-05
   5.6351000e+05   7.0212800e-06   1.3528502e-05
   5.8230000e+05   7.4821600e-06   1.4416519e-05
   6.0108000e+05   7.9564800e-06   1.5330432e-05
   6.1986000e+05   8.4442400e-06   1.6270241e-05
   6.3865000e+05   8.9460000e-06   1.7237025e-05
   6.5743000e+05   9.4606400e-06   1.8228626e-05
   6.7621000e+05   9.9887200e-06   1.9246123e-05
   6.9500000e+05   1.0530240e-05   2.0289516e-05
   7.1378000e+05   1.1084640e-05   2.1357726e-05
   7.3257000e+05   1.1652480e-05   2.2451832e-05
   7.5135000e+05   1.2232640e-05   2.3569676e-05
   7.7013000e+05   1.2826240e-05   2.4713416e-05
   7.8892000e+05   1.3432160e-05   2.5880894e-05
   8.0770000e+05   1.4050400e-05   2.7072110e-05
   8.2648000e+05   1.4682080e-05   2.8289222e-05
   8.4527000e+05   1.5325520e-05   2.9528993e-05
   8.6405000e+05   1.5981840e-05   3.0793581e-05
   8.8284000e+05   1.6649920e-05   3.2080828e-05
   9.0162000e+05   1.7330880e-05   3.3392892e-05
   9.2040000e+05   1.8023600e-05   3.4727615e-05
   9.3919000e+05   1.8728080e-05   3.6084997e-05
   9.5797000e+05   1.9444880e-05   3.7466117e-05
   9.7675000e+05   2.0173440e-05   3.8869896e-05
   9.9554000e+05   2.0913760e-05   4.0296334e-05
   1.0143000e+06   2.1666400e-05   4.1746510e-05
   1.0331000e+06   2.2429680e-05   4.3217187e-05
   1.0519000e+06   2.3205280e-05   4.4711602e-05
   1.0707000e+06   2.3991520e-05   4.6226518e-05
   1.0895000e+06   2.4789520e-05   4.7764093e-05
   1.1082000e+06   2.5598720e-05   4.9323248e-05
   1.1270000e+06   2.6419120e-05   5.0903983e-05
   1.1458000e+06   2.7250720e-05   5.2506298e-05
   1.1646000e+06   2.8093520e-05   5.4130193e-05
   1.1834000e+06   2.8946960e-05   5.5774589e-05
   1.2022000e+06   2.9811040e-05   5.7439486e-05
   1.2209000e+06   3.0686320e-05   5.9125963e-05
   1.2397000e+06   3.1571680e-05   6.0831862e-05
   1.2585000e+06   3.2468240e-05   6.2559341e-05
   1.2773000e+06   3.3374880e-05   6.4306242e-05
   1.2961000e+06   3.4292160e-05   6.6073644e-05
   1.3149000e+06   3.5219520e-05   6.7860468e-05
   1.3336000e+06   3.6157520e-05   6.9667793e-05
   1.3524000e+06   3.7105600e-05   7.1494540e-05
   1.3712000e+06   3.8063760e-05   7.3340709e-05
   1.3900000e+06   3.9031440e-05   7.5205221e-05
   1.4088000e+06   4.0009200e-05   7.7089155e-05
   1.4276000e+06   4.0997040e-05   7.8992511e-05
   1.4463000e+06   4.1994960e-05   8.0915289e-05
   1.4651000e+06   4.3001840e-05   8.2855331e-05
   1.4839000e+06   4.4018800e-05   8.4814795e-05
   1.5027000e+06   4.5044720e-05   8.6791523e-05
   1.5215000e+06   4.6080720e-05   8.8787673e-05
   1.5403000e+06   4.7125680e-05   9.0801087e-05
   1.5590000e+06   4.8179600e-05   9.2831765e-05
   1.5778000e+06   4.9243040e-05   9.4880786e-05
   1.5966000e+06   5.0316000e-05   9.6948150e-05
   1.6154000e+06   5.1397360e-05   9.9031699e-05
   1.6342000e+06   5.2487680e-05   1.0113251e-04
   1.6530000e+06   5.3586960e-05   1.0325059e-04
   1.6718000e+06   5.4695200e-05   1.0538593e-04
   1.6905000e+06   5.5812400e-05   1.0753853e-04
   1.7093000e+06   5.6935200e-05   1.0970193e-04
   1.7281000e+06   5.8072000e-05   1.1189230e-04
   1.7469000e+06   5.9214400e-05   1.1409346e-04
   1.7657000e+06   6.0362400e-05   1.1630541e-04
   1.7845000e+06   6.1521600e-05   1.1853894e-04
   1.8032000e+06   6.2692000e-05   1.2079405e-04
   1.8220000e+06   6.3868000e-05   1.2305995e-04
   1.8408000e+06   6.5049600e-05   1.2533664e-04
   1.8596000e+06   6.6242400e-05   1.2763491e-04
   1.8784000e+06   6.7440800e-05   1.2994397e-04
   1.8972000e+06   6.8650400e-05   1.3227461e-04
   1.9159000e+06   6.9865600e-05   1.3461604e-04
   1.9347000e+06   7.1086400e-05   1.3696826e-04
   1.9535000e+06   7.2318400e-05   1.3934206e-04
   1.9723000e+06   7.3556000e-05   1.4172665e-04
   1.9911000e+06   7.4799200e-05   1.4412203e-04
   2.0099000e+06   7.6053600e-05   1.4653899e-04
   2.0286000e+06   7.7313600e-05   1.4896674e-04
   2.0474000e+06   7.8579200e-05   1.5140528e-04
   2.0662000e+06   7.9850400e-05   1.5385461e-04
   2.0850000e+06   8.1132800e-05   1.5632552e-04
   2.1038000e+06   8.2420800e-05   1.5880722e-04
   2.1226000e+06   8.3714400e-05   1.6129971e-04
   2.1413000e+06   8.5019200e-05   1.6381378e-04
   2.1601000e+06   8.6329600e-05   1.6633864e-04
   2.1789000e+06   8.7640000e-05   1.6886350e-04
   2.1977000e+06   8.8961600e-05   1.7140994e-04
   2.2165000e+06   9.0294400e-05   1.7397796e-04
   2.2353000e+06   9.1627200e-05   1.7654598e-04
   2.2540000e+06   9.2971200e-05   1.7913558e-04
   2.2728000e+06   9.4315200e-05   1.8172518e-04
   2.2916000e+06   9.5670400e-05   1.8433636e-04
   2.3104000e+06   9.7031200e-05   1.8695833e-04
   2.3292000e+06   9.8397600e-05   1.8959109e-04
   2.3480000e+06   9.9769600e-05   1.9223464e-04
   2.3668000e+06   1.0114720e-04   1.9488898e-04
   2.3855000e+06   1.0253040e-04   1.9755411e-04
   2.4043000e+06   1.0391920e-04   2.0023003e-04
   2.4231000e+06   1.0531360e-04   2.0291674e-04
   2.4419000e+06   1.0671360e-04   2.0561424e-04
   2.4607000e+06   1.0812480e-04   2.0833332e-04
   2.4795000e+06   1.0953600e-04   2.1105240e-04
   2.4982000e+06   1.1095280e-04   2.1378227e-04
   2.5170000e+06   1.1237520e-04   2.1652293e-04
   2.5358000e+06   1.1380320e-04   2.1927438e-04
   2.5546000e+06   1.1523680e-04   2.2203662e-04
   2.5734000e+06   1.1667600e-04   2.2480965e-04
   2.5922000e+06   1.1812080e-04   2.2759347e-04
   2.6109000e+06   1.1956560e-04   2.3037729e-04
   2.6297000e+06   1.2102160e-04   2.3318269e-04
   2.6485000e+06   1.2247760e-04   2.3598809e-04
   2.6673000e+06   1.2394480e-04   2.3881507e-04
   2.6861000e+06   1.2541200e-04   2.4164205e-04
   2.7049000e+06   1.2688480e-04   2.4447982e-04
   2.7236000e+06   1.2835760e-04   2.4731759e-04
   2.7424000e+06   1.2984160e-04   2.5017694e-04
   2.7612000e+06   1.3132560e-04   2.5303629e-04
   2.7800000e+06   1.3282080e-04   2.5591722e-04
   2.7988000e+06   1.3431040e-04   2.5878736e-04
   2.8176000e+06   1.3581120e-04   2.6167908e-04
   2.8363000e+06   1.3731760e-04   2.6458159e-04
   2.8551000e+06   1.3882400e-04   2.6748410e-04
   2.8739000e+06   1.4033600e-04   2.7039740e-04
   2.8927000e+06   1.4184800e-04   2.7331070e-04
   2.9115000e+06   1.4336560e-04   2.7623479e-04
   2.9303000e+06   1.4488880e-04   2.7916967e-04
   2.9490000e+06   1.4641760e-04   2.8211534e-04
   2.9678000e+06   1.4794640e-04   2.8506101e-04
   2.9866000e+06   1.4948080e-04   2.8801747e-04
   3.0054000e+06   1.5102080e-04   2.9098472e-04
   3.0242000e+06   1.5256080e-04   2.9395197e-04
   3.0430000e+06   1.5410640e-04   2.9693001e-04
   3.0617000e+06   1.5565200e-04   2.9990805e-04
   3.0805000e+06   1.5720320e-04   3.0289688e-04
   3.0993000e+06   1.5876000e-04   3.0589650e-04
   3.1181000e+06   1.6031680e-04   3.0889612e-04
   3.1369000e+06   1.6187360e-04   3.1189574e-04
   3.1557000e+06   1.6344160e-04   3.1491694e-04
   3.1745000e+06   1.6500400e-04   3.1792735e-04
   3.1932000e+06   1.6657760e-04   3.2095934e-04
   3.2120000e+06   1.6814560e-04   3.2398054e-04
   3.2308000e+06   1.6972480e-04   3.2702332e-04
   3.2496000e+06   1.7129840e-04   3.3005531e-04
   3.2684000e+06   1.7288320e-04   3.3310888e-04
   3.2872000e+06   1.7446240e-04   3.3615166e-04
   3.3059000e+06   1.7605280e-04   3.3921602e-04
   3.3247000e+06   1.7763760e-04   3.4226959e-04
   3.3435000e+06   1.7922800e-04   3.4533395e-04
   3.3623000e+06   1.8081840e-04   3.4839831e-04
   3.3811000e+06   1.8241440e-04   3.5147346e-04
   3.3999000e+06   1.8401040e-04   3.5454861e-04
   3.4186000e+06   1.8561200e-04   3.5763455e-04
   3.4374000e+06   1.8721360e-04   3.6072049e-04
   3.4562000e+06   1.8881520e-04   3.6380643e-04
   3.4750000e+06   1.9042240e-04   3.6690316e-04
   3.4938000e+06   1.9202960e-04   3.6999989e-04
   3.5126000e+06   1.9363680e-04   3.7309662e-04
   3.5313000e+06   1.9524960e-04   3.7620414e-04
   3.5501000e+06   1.9686240e-04   3.7931166e-04
   3.5689000e+06   1.9847520e-04   3.8241918e-04
   3.5877000e+06   2.0009360e-04   3.8553749e-04
   3.6065000e+06   2.0170640e-04   3.8864501e-04
   3.6253000e+06   2.0332480e-04   3.9176332e-04
   3.6440000e+06   2.0494880e-04   3.9489242e-04
   3.6628000e+06   2.0656720e-04   3.9801073e-04
   3.6816000e+06   2.0819120e-04   4.0113983e-04
   3.7004000e+06   2.0981520e-04   4.0426893e-04
   3.7192000e+06   2.1143920e-04   4.0739803e-04
   3.7380000e+06   2.1306320e-04   4.1052713e-04
   3.7567000e+06   2.1469280e-04   4.1366702e-04
