Solar, thermal, in eV^-1 cm^-2 s^-1

    Energy [eV]       Flux

   2.2387211e-02   3.7187130e-06
   2.5118864e-02   4.7016636e-06
   2.8183829e-02   5.9600025e-06
   3.1622777e-02   7.5818875e-06
   3.5481339e-02   9.6885868e-06
   3.9810717e-02   1.2447885e-05
   4.4668359e-02   1.6093825e-05
   5.0118723e-02   2.0952671e-05
   5.6234133e-02   2.7486064e-05
   6.3095734e-02   3.6342803e-05
   7.0794578e-02   4.8455055e-05
   7.9432823e-02   6.5146075e-05
   8.9125094e-02   8.8343584e-05
   1.0000000e-01   1.2081467e-04
   1.1220185e-01   1.6663423e-04
   1.2589254e-01   2.3171724e-04
   1.4125375e-01   3.2484356e-04
   1.5848932e-01   4.5889209e-04
   1.7782794e-01   6.5309404e-04
   1.9952623e-01   9.3592903e-04
   2.2387211e-01   1.3501375e-03
   2.5118864e-01   1.9595715e-03
   2.8183829e-01   2.8605294e-03
   3.1622777e-01   4.1981116e-03
   3.5481339e-01   6.1923798e-03
   3.9810717e-01   9.1779347e-03
   4.4668359e-01   1.3665794e-02
   5.0118723e-01   2.0441082e-02
   5.6234133e-01   3.0714017e-02
   6.3095734e-01   4.6366941e-02
   7.0794578e-01   7.0341825e-02
   7.9432823e-01   1.0725913e-01
   8.9125094e-01   1.6448046e-01
   1.0000000e+00   2.5349745e-01
   1.1220185e+00   3.9284825e-01
   1.2589254e+00   6.1049008e-01
   1.4125375e+00   9.5037336e-01
   1.5848932e+00   1.4751097e+00
   1.7782794e+00   2.2746523e+00
   1.9952623e+00   3.4692141e+00
   2.2387211e+00   5.2078665e+00
   2.5118864e+00   7.6773376e+00
   2.8183829e+00   1.1071901e+01
   3.1622777e+00   1.5618844e+01
   3.5481339e+00   2.1515111e+01
   3.9810717e+00   2.8973225e+01
   4.4668359e+00   3.8144819e+01
   5.0118723e+00   4.9173830e+01
   5.6234133e+00   6.2138341e+01
   6.3095734e+00   7.7086323e+01
   7.0794578e+00   9.4019833e+01
   7.9432823e+00   1.1289145e+02
   8.9125094e+00   1.3363988e+02
   1.0000000e+01   1.5613734e+02
   1.1220185e+01   1.8027355e+02
   1.2589254e+01   2.0585533e+02
   1.4125375e+01   2.3273113e+02
   1.5848932e+01   2.6064808e+02
   1.7782794e+01   2.8941111e+02
   1.9952623e+01   3.1870045e+02
   2.2387211e+01   3.4826550e+02
   2.5118864e+01   3.7770031e+02
   2.8183829e+01   4.0667988e+02
   3.1622777e+01   4.3468829e+02
   3.5481339e+01   4.6130805e+02
   3.9810717e+01   4.8590662e+02
   4.4668359e+01   5.0797288e+02
   5.0118723e+01   5.2682197e+02
   5.6234133e+01   5.4189127e+02
   6.3095734e+01   5.5269898e+02
   7.0794578e+01   5.5875178e+02
   7.9432823e+01   5.6041500e+02
   8.9125094e+01   5.5757744e+02
   1.0000000e+02   5.5232662e+02
   1.1220185e+02   5.4596128e+02
   1.2589254e+02   5.4091242e+02
   1.4125375e+02   5.3994382e+02
   1.5848932e+02   5.4201315e+02
   1.7782794e+02   5.4679264e+02
   1.9952623e+02   5.5454554e+02
   2.2387211e+02   5.6470104e+02
   2.5118864e+02   5.7743740e+02
   2.8183829e+02   5.9413171e+02
   3.1622777e+02   6.1295968e+02
   3.5481339e+02   6.3699073e+02
   3.9810717e+02   6.6324682e+02
   4.4668359e+02   6.9277307e+02
   5.0118723e+02   7.2378764e+02
   5.6234133e+02   7.5691263e+02
   6.3095734e+02   7.8913547e+02
   7.0794578e+02   8.1968767e+02
   7.9432823e+02   8.4729226e+02
   8.9125094e+02   8.6857899e+02
   1.0000000e+03   8.8345946e+02
   1.1220185e+03   8.8787616e+02
   1.2589254e+03   8.8228564e+02
   1.4125375e+03   8.6435364e+02
   1.5848932e+03   8.3340247e+02
   1.7782794e+03   7.9000789e+02
   1.9952623e+03   7.3528665e+02
   2.2387211e+03   6.7119672e+02
   2.5118864e+03   6.0045980e+02
   2.8183829e+03   5.2621335e+02
   3.1622777e+03   4.5086603e+02
   3.5481339e+03   3.7724460e+02
   3.9810717e+03   3.0756623e+02
   4.4668359e+03   2.4309224e+02
   5.0118723e+03   1.8418737e+02
   5.6234133e+03   1.3130112e+02
   6.3095734e+03   8.6346714e+01
   7.0794578e+03   5.4262446e+01
   7.9432823e+03   3.1585602e+01
   8.9125094e+03   1.6978149e+01
   1.0000000e+04   8.3544361e+00
