<<<<<<< HEAD
2.66490954e+13 8.86057043e-24
2.93420659e+13 5.71992690e-24
3.23071691e+13 4.16221231e-24
3.55719048e+13 3.04626917e-24
3.91665518e+13 2.40698695e-24
4.31244486e+13 1.87728855e-24
4.74823027e+13 1.40813351e-24
5.22805309e+13 1.00181478e-24
5.75636344e+13 7.05770544e-25
6.33806112e+13 4.93202434e-25
6.97854108e+13 3.54763043e-25
7.68374346e+13 2.71672950e-25
8.46020864e+13 2.18730990e-25
9.31513793e+13 1.58398898e-25
1.02564604e+14 1.16433761e-25
1.12929063e+14 8.60827213e-26
1.24340881e+14 6.26397100e-26
1.36905898e+14 4.85468884e-26
1.50740647e+14 4.19770369e-26
1.65973438e+14 3.06514982e-26
1.82745549e+14 1.91808013e-26
2.01212531e+14 1.28909207e-26
2.20658790e+14 8.91576196e-27
2.38405967e+14 5.67218334e-27
2.58714592e+14 3.58434982e-27
2.83339069e+14 2.22795908e-27
3.11971326e+14 1.44089035e-27
3.43496959e+14 1.01187384e-27
3.78208350e+14 8.01066541e-28
4.16427431e+14 6.55925037e-28
4.58508664e+14 5.16280996e-28
4.98137305e+14 4.26408636e-28
5.11181758e+14 1.28210314e-27
5.07549544e+14 7.26270101e-28
5.16678874e+14 2.45020019e-27
5.22235105e+14 4.61401413e-27
5.36149492e+14 9.33242012e-27
5.73984352e+14 1.89134308e-26
6.07139067e+14 2.41386928e-26
6.52595901e+14 4.30583198e-26
6.99242815e+14 7.95895122e-26
7.55075058e+14 1.66973362e-25
8.03558795e+14 3.15961858e-25
8.74603078e+14 5.75464743e-25
9.60412666e+14 7.73596451e-25
1.05041943e+15 9.80829401e-25
1.16744291e+15 1.32282156e-24
1.28418947e+15 1.80321959e-24
1.38720946e+15 2.29158634e-24
1.51924417e+15 3.65040057e-24
1.66562662e+15 6.00450154e-24
1.74589140e+15 7.63669157e-24
1.87159574e+15 1.30151335e-23
2.04973438e+15 2.09994032e-23
2.25686615e+15 2.95121329e-23
2.46225079e+15 3.85290211e-23
2.75071069e+15 5.63633494e-23
3.07218202e+15 8.19184130e-23
3.32879556e+15 1.04427273e-22
3.65213555e+15 1.40403174e-22
4.09560981e+15 1.99840844e-22
4.45129113e+15 2.55067182e-22
4.90110737e+15 3.41403218e-22
5.36759519e+15 5.23976587e-22
5.76432959e+15 7.28237782e-22
6.13545426e+15 9.37233068e-22
6.77958940e+15 1.33036713e-21
7.34213500e+15 1.73093039e-21
8.14608045e+15 2.48432797e-21
9.16320972e+15 4.34464703e-21
1.00891794e+16 6.16349961e-21
1.10917593e+16 8.71496792e-21
1.20580885e+16 1.18266892e-20
1.34672987e+16 1.76993082e-20
1.48679143e+16 2.54468614e-20
1.58958419e+16 2.86998580e-20
1.74088095e+16 5.06304374e-20
1.87623215e+16 7.08642504e-20
1.97930791e+16 9.00229890e-20
2.20275875e+16 1.61023458e-19
2.42535409e+16 2.62048417e-19
2.67044335e+16 3.70144835e-19
2.84744611e+16 4.89915323e-19
3.11846628e+16 8.15520616e-19
3.46125253e+16 1.17989354e-18
3.78731747e+16 1.59302024e-18
4.16260980e+16 2.06737818e-18
4.63608178e+16 2.83721484e-18
5.05540976e+16 3.46121403e-18
5.54363872e+16 4.66805802e-18
6.15065331e+16 7.15148198e-18
6.65728107e+16 9.72059249e-18
7.18255452e+16 1.32126346e-17
7.90837306e+16 1.89550963e-17
8.68428416e+16 2.81835062e-17
9.41805710e+16 3.66591242e-17
1.02777584e+17 5.58220882e-17
1.11362401e+17 7.24051359e-17
1.19198224e+17 9.53916731e-17
1.31444260e+17 1.51911009e-16
1.42804912e+17 1.97609442e-16
1.50362800e+17 2.64046903e-16
1.64548577e+17 3.57572412e-16
1.74208512e+17 4.57010360e-16
1.89772042e+17 6.68116898e-16
2.05361673e+17 8.74898634e-16
2.22897988e+17 1.21499334e-15
2.48963583e+17 1.95658378e-15
2.68662064e+17 2.61763901e-15
2.91622316e+17 3.63912182e-15
3.20662594e+17 5.41085155e-15
3.51653148e+17 7.83859659e-15
3.66371525e+17 9.52710135e-15
3.99814737e+17 1.29496334e-14
4.22532201e+17 1.71795159e-14
4.59460779e+17 2.36773077e-14
4.96066812e+17 3.12483074e-14
5.39422188e+17 4.54345320e-14
5.93932408e+17 6.55394706e-14
6.36014930e+17 8.20912497e-14
6.97296338e+17 1.31411967e-13
7.76016506e+17 1.93005446e-13
8.47155022e+17 2.94559187e-13
8.98625457e+17 3.82006996e-13
9.50895407e+17 4.03303724e-13
=======
2.66490954e+13 8.86057043e-24
2.93420659e+13 5.71992690e-24
3.23071691e+13 4.16221231e-24
3.55719048e+13 3.04626917e-24
3.91665518e+13 2.40698695e-24
4.31244486e+13 1.87728855e-24
4.74823027e+13 1.40813351e-24
5.22805309e+13 1.00181478e-24
5.75636344e+13 7.05770544e-25
6.33806112e+13 4.93202434e-25
6.97854108e+13 3.54763043e-25
7.68374346e+13 2.71672950e-25
8.46020864e+13 2.18730990e-25
9.31513793e+13 1.58398898e-25
1.02564604e+14 1.16433761e-25
1.12929063e+14 8.60827213e-26
1.24340881e+14 6.26397100e-26
1.36905898e+14 4.85468884e-26
1.50740647e+14 4.19770369e-26
1.65973438e+14 3.06514982e-26
1.82745549e+14 1.91808013e-26
2.01212531e+14 1.28909207e-26
2.20658790e+14 8.91576196e-27
2.38405967e+14 5.67218334e-27
2.58714592e+14 3.58434982e-27
2.83339069e+14 2.22795908e-27
3.11971326e+14 1.44089035e-27
3.43496959e+14 1.01187384e-27
3.78208350e+14 8.01066541e-28
4.16427431e+14 6.55925037e-28
4.58508664e+14 5.16280996e-28
4.98137305e+14 4.26408636e-28
5.11181758e+14 1.28210314e-27
5.07549544e+14 7.26270101e-28
5.16678874e+14 2.45020019e-27
5.22235105e+14 4.61401413e-27
5.36149492e+14 9.33242012e-27
5.73984352e+14 1.89134308e-26
6.07139067e+14 2.41386928e-26
6.52595901e+14 4.30583198e-26
6.99242815e+14 7.95895122e-26
7.55075058e+14 1.66973362e-25
8.03558795e+14 3.15961858e-25
8.74603078e+14 5.75464743e-25
9.60412666e+14 7.73596451e-25
1.05041943e+15 9.80829401e-25
1.16744291e+15 1.32282156e-24
1.28418947e+15 1.80321959e-24
1.38720946e+15 2.29158634e-24
1.51924417e+15 3.65040057e-24
1.66562662e+15 6.00450154e-24
1.74589140e+15 7.63669157e-24
1.87159574e+15 1.30151335e-23
2.04973438e+15 2.09994032e-23
2.25686615e+15 2.95121329e-23
2.46225079e+15 3.85290211e-23
2.75071069e+15 5.63633494e-23
3.07218202e+15 8.19184130e-23
3.32879556e+15 1.04427273e-22
3.65213555e+15 1.40403174e-22
4.09560981e+15 1.99840844e-22
4.45129113e+15 2.55067182e-22
4.90110737e+15 3.41403218e-22
5.36759519e+15 5.23976587e-22
5.76432959e+15 7.28237782e-22
6.13545426e+15 9.37233068e-22
6.77958940e+15 1.33036713e-21
7.34213500e+15 1.73093039e-21
8.14608045e+15 2.48432797e-21
9.16320972e+15 4.34464703e-21
1.00891794e+16 6.16349961e-21
1.10917593e+16 8.71496792e-21
1.20580885e+16 1.18266892e-20
1.34672987e+16 1.76993082e-20
1.48679143e+16 2.54468614e-20
1.58958419e+16 2.86998580e-20
1.74088095e+16 5.06304374e-20
1.87623215e+16 7.08642504e-20
1.97930791e+16 9.00229890e-20
2.20275875e+16 1.61023458e-19
2.42535409e+16 2.62048417e-19
2.67044335e+16 3.70144835e-19
2.84744611e+16 4.89915323e-19
3.11846628e+16 8.15520616e-19
3.46125253e+16 1.17989354e-18
3.78731747e+16 1.59302024e-18
4.16260980e+16 2.06737818e-18
4.63608178e+16 2.83721484e-18
5.05540976e+16 3.46121403e-18
5.54363872e+16 4.66805802e-18
6.15065331e+16 7.15148198e-18
6.65728107e+16 9.72059249e-18
7.18255452e+16 1.32126346e-17
7.90837306e+16 1.89550963e-17
8.68428416e+16 2.81835062e-17
9.41805710e+16 3.66591242e-17
1.02777584e+17 5.58220882e-17
1.11362401e+17 7.24051359e-17
1.19198224e+17 9.53916731e-17
1.31444260e+17 1.51911009e-16
1.42804912e+17 1.97609442e-16
1.50362800e+17 2.64046903e-16
1.64548577e+17 3.57572412e-16
1.74208512e+17 4.57010360e-16
1.89772042e+17 6.68116898e-16
2.05361673e+17 8.74898634e-16
2.22897988e+17 1.21499334e-15
2.48963583e+17 1.95658378e-15
2.68662064e+17 2.61763901e-15
2.91622316e+17 3.63912182e-15
3.20662594e+17 5.41085155e-15
3.51653148e+17 7.83859659e-15
3.66371525e+17 9.52710135e-15
3.99814737e+17 1.29496334e-14
4.22532201e+17 1.71795159e-14
4.59460779e+17 2.36773077e-14
4.96066812e+17 3.12483074e-14
5.39422188e+17 4.54345320e-14
5.93932408e+17 6.55394706e-14
6.36014930e+17 8.20912497e-14
6.97296338e+17 1.31411967e-13
7.76016506e+17 1.93005446e-13
8.47155022e+17 2.94559187e-13
8.98625457e+17 3.82006996e-13
9.50895407e+17 4.03303724e-13
>>>>>>> master
