<<<<<<< HEAD
7.51242236 2.12111801
7.51863354 2.08385093
7.52484472 2.04037267
7.53105590 2.00310559
7.54347826 1.97204969
7.55590062 1.93478261
7.56832298 1.89751553
7.58074534 1.85403727
7.59316770 1.81677019
7.60559006 1.77950311
7.61801242 1.73602484
7.63043478 1.69875776
7.64285714 1.66770186
7.65527950 1.62422360
7.67391304 1.57453416
7.69254658 1.51863354
7.71739130 1.46894410
7.74223602 1.41925466
7.76708075 1.36956522
7.79192547 1.31987578
7.81677019 1.27018634
7.84782609 1.20807453
7.88509317 1.14596273
7.90993789 1.09627329
7.94099379 1.04658385
7.96583851 0.99068323
7.99689441 0.94099379
8.02795031 0.88509317
8.07763975 0.83540373
8.10248447 0.79192547
8.13354037 0.74844720
8.16459627 0.70496894
8.20186335 0.65527950
8.23913043 0.61180124
8.28881988 0.54968944
8.34472050 0.46273292
8.40683230 0.40062112
8.46273292 0.34472050
8.50000000 0.27639752
8.55590062 0.22670807
8.60559006 0.15838509
8.64906832 0.10248447
8.69254658 0.05900621
8.72360248 0.02173913
8.75465839 -0.00310559
=======
7.51242236 2.12111801
7.51863354 2.08385093
7.52484472 2.04037267
7.53105590 2.00310559
7.54347826 1.97204969
7.55590062 1.93478261
7.56832298 1.89751553
7.58074534 1.85403727
7.59316770 1.81677019
7.60559006 1.77950311
7.61801242 1.73602484
7.63043478 1.69875776
7.64285714 1.66770186
7.65527950 1.62422360
7.67391304 1.57453416
7.69254658 1.51863354
7.71739130 1.46894410
7.74223602 1.41925466
7.76708075 1.36956522
7.79192547 1.31987578
7.81677019 1.27018634
7.84782609 1.20807453
7.88509317 1.14596273
7.90993789 1.09627329
7.94099379 1.04658385
7.96583851 0.99068323
7.99689441 0.94099379
8.02795031 0.88509317
8.07763975 0.83540373
8.10248447 0.79192547
8.13354037 0.74844720
8.16459627 0.70496894
8.20186335 0.65527950
8.23913043 0.61180124
8.28881988 0.54968944
8.34472050 0.46273292
8.40683230 0.40062112
8.46273292 0.34472050
8.50000000 0.27639752
8.55590062 0.22670807
8.60559006 0.15838509
8.64906832 0.10248447
8.69254658 0.05900621
8.72360248 0.02173913
8.75465839 -0.00310559
>>>>>>> master
